election_value,title,year,election_type,district,party,office
67624,2014 State Representative Democratic Primary Rutland 3 District,2014,Primary,Rutland 3,Democratic,State Representative
67625,2014 State Representative Democratic Primary Windsor 2 District,2014,Primary,Windsor 2,Democratic,State Representative
67626,2014 State Representative Democratic Primary Chittenden 4-1 District,2014,Primary,Chittenden 4-1,Democratic,State Representative
67627,2014 State Representative Democratic Primary Orange 1 District,2014,Primary,Orange 1,Democratic,State Representative
67628,2014 State Representative Democratic Primary Rutland 2 District,2014,Primary,Rutland 2,Democratic,State Representative
67629,2014 State Representative Democratic Primary Chittenden 9-1 District,2014,Primary,Chittenden 9-1,Democratic,State Representative
67630,2014 State Representative Democratic Primary Chittenden 9-2 District,2014,Primary,Chittenden 9-2,Democratic,State Representative
67631,2014 State Representative Democratic Primary Addison 2 District,2014,Primary,Addison 2,Democratic,State Representative
67632,2014 State Representative Democratic Primary Orleans 2 District,2014,Primary,Orleans 2,Democratic,State Representative
67633,2014 State Representative Democratic Primary Bennington-Rutland District,2014,Primary,Bennington-Rutland,Democratic,State Representative
67634,2014 State Representative Democratic Primary Windham-Bennington District,2014,Primary,Windham-Bennington,Democratic,State Representative
67635,2014 State Representative Democratic Primary Windham 4 District,2014,Primary,Windham 4,Democratic,State Representative
67636,2014 State Representative Democratic Primary Washington 7 District,2014,Primary,Washington 7,Democratic,State Representative
67637,2014 State Representative Democratic Primary Washington 5 District,2014,Primary,Washington 5,Democratic,State Representative
67638,2014 State Representative Democratic Primary Orleans-Lamoille District,2014,Primary,Orleans-Lamoille,Democratic,State Representative
67639,2014 State Representative Democratic Primary Lamoille-Washington District,2014,Primary,Lamoille-Washington,Democratic,State Representative
67640,2014 State Representative Democratic Primary Franklin 7 District,2014,Primary,Franklin 7,Democratic,State Representative
67641,2014 State Representative Democratic Primary Chittenden 8-1 District,2014,Primary,Chittenden 8-1,Democratic,State Representative
67642,2014 State Representative Democratic Primary Chittenden 8-2 District,2014,Primary,Chittenden 8-2,Democratic,State Representative
67643,2014 State Representative Democratic Primary Chittenden 8-3 District,2014,Primary,Chittenden 8-3,Democratic,State Representative
67644,2014 State Representative Democratic Primary Franklin 2 District,2014,Primary,Franklin 2,Democratic,State Representative
67645,2014 State Representative Democratic Primary Franklin 1 District,2014,Primary,Franklin 1,Democratic,State Representative
67646,2014 State Representative Democratic Primary Orange-Caledonia District,2014,Primary,Orange-Caledonia,Democratic,State Representative
67647,2014 State Representative Democratic Primary Windham 1 District,2014,Primary,Windham 1,Democratic,State Representative
67648,2014 State Representative Democratic Primary Windham 6 District,2014,Primary,Windham 6,Democratic,State Representative
67649,2014 State Representative Democratic Primary Caledonia 2 District,2014,Primary,Caledonia 2,Democratic,State Representative
67650,2014 State Representative Democratic Primary Windsor 4-2 District,2014,Primary,Windsor 4-2,Democratic,State Representative
67651,2014 State Representative Democratic Primary Windsor 1 District,2014,Primary,Windsor 1,Democratic,State Representative
67652,2014 State Representative Democratic Primary Chittenden 4-2 District,2014,Primary,Chittenden 4-2,Democratic,State Representative
67653,2014 State Representative Democratic Primary Rutland 1 District,2014,Primary,Rutland 1,Democratic,State Representative
67654,2014 State Representative Democratic Primary Windham-Bennington-Windsor District,2014,Primary,Windham-Bennington-Windsor,Democratic,State Representative
67655,2014 State Representative Democratic Primary Chittenden 3 District,2014,Primary,Chittenden 3,Democratic,State Representative
67656,2014 State Representative Democratic Primary Rutland-Windsor 2 District,2014,Primary,Rutland-Windsor 2,Democratic,State Representative
67657,2014 State Representative Democratic Primary Windham 5 District,2014,Primary,Windham 5,Democratic,State Representative
67658,2014 State Representative Democratic Primary Addison 1 District,2014,Primary,Addison 1,Democratic,State Representative
67659,2014 State Representative Democratic Primary Rutland-Bennington District,2014,Primary,Rutland-Bennington,Democratic,State Representative
67660,2014 State Representative Democratic Primary Chittenden 10 District,2014,Primary,Chittenden 10,Democratic,State Representative
67661,2014 State Representative Democratic Primary Washington 4 District,2014,Primary,Washington 4,Democratic,State Representative
67662,2014 State Representative Democratic Primary Windsor-Orange 2 District,2014,Primary,Windsor-Orange 2,Democratic,State Representative
67663,2014 State Representative Democratic Primary Windsor 5 District,2014,Primary,Windsor 5,Democratic,State Representative
67664,2014 State Representative Democratic Primary Bennington 1 District,2014,Primary,Bennington 1,Democratic,State Representative
67665,2014 State Representative Democratic Primary Chittenden 1 District,2014,Primary,Chittenden 1,Democratic,State Representative
67666,2014 State Representative Democratic Primary Windsor-Orange 1 District,2014,Primary,Windsor-Orange 1,Democratic,State Representative
67667,2014 State Representative Democratic Primary Rutland 5-1 District,2014,Primary,Rutland 5-1,Democratic,State Representative
67668,2014 State Representative Democratic Primary Rutland 5-2 District,2014,Primary,Rutland 5-2,Democratic,State Representative
67669,2014 State Representative Democratic Primary Rutland 5-3 District,2014,Primary,Rutland 5-3,Democratic,State Representative
67670,2014 State Representative Democratic Primary Rutland 5-4 District,2014,Primary,Rutland 5-4,Democratic,State Representative
67671,2014 State Representative Democratic Primary Rutland 4 District,2014,Primary,Rutland 4,Democratic,State Representative
67672,2014 State Representative Democratic Primary Franklin 3-1 District,2014,Primary,Franklin 3-1,Democratic,State Representative
67673,2014 State Representative Democratic Primary Franklin 3-2 District,2014,Primary,Franklin 3-2,Democratic,State Representative
67674,2014 State Representative Democratic Primary Chittenden 5-2 District,2014,Primary,Chittenden 5-2,Democratic,State Representative
67675,2014 State Representative Democratic Primary Caledonia 3 District,2014,Primary,Caledonia 3,Democratic,State Representative
67676,2014 State Representative Democratic Primary Bennington 3 District,2014,Primary,Bennington 3,Democratic,State Representative
67677,2014 State Representative Democratic Primary Chittenden 5-1 District,2014,Primary,Chittenden 5-1,Democratic,State Representative
67678,2014 State Representative Democratic Primary Franklin 4 District,2014,Primary,Franklin 4,Democratic,State Representative
67679,2014 State Representative Democratic Primary Chittenden 7-1 District,2014,Primary,Chittenden 7-1,Democratic,State Representative
67680,2014 State Representative Democratic Primary Chittenden 7-2 District,2014,Primary,Chittenden 7-2,Democratic,State Representative
67681,2014 State Representative Democratic Primary Chittenden 7-3 District,2014,Primary,Chittenden 7-3,Democratic,State Representative
67682,2014 State Representative Democratic Primary Chittenden 7-4 District,2014,Primary,Chittenden 7-4,Democratic,State Representative
67683,2014 State Representative Democratic Primary Windsor 3-2 District,2014,Primary,Windsor 3-2,Democratic,State Representative
67684,2014 State Representative Democratic Primary Lamoille 1 District,2014,Primary,Lamoille 1,Democratic,State Representative
67685,2014 State Representative Democratic Primary Chittenden 2 District,2014,Primary,Chittenden 2,Democratic,State Representative
67686,2014 State Representative Liberty Union Primary Addison 3 District,2014,Primary,Addison 3,Liberty Union,State Representative
67687,2014 State Representative Liberty Union Primary Orleans-Caledonia District,2014,Primary,Orleans-Caledonia,Liberty Union,State Representative
67688,2014 State Representative Liberty Union Primary Grand Isle-Chittenden District,2014,Primary,Grand Isle-Chittenden,Liberty Union,State Representative
67689,2014 State Representative Liberty Union Primary Windsor 3-1 District,2014,Primary,Windsor 3-1,Liberty Union,State Representative
67690,2014 State Representative Liberty Union Primary Bennington 4 District,2014,Primary,Bennington 4,Liberty Union,State Representative
67691,2014 State Representative Liberty Union Primary Windham 3 District,2014,Primary,Windham 3,Liberty Union,State Representative
67692,2014 State Representative Liberty Union Primary Franklin 6 District,2014,Primary,Franklin 6,Liberty Union,State Representative
67693,2014 State Representative Liberty Union Primary Windsor 4-1 District,2014,Primary,Windsor 4-1,Liberty Union,State Representative
67694,2014 State Representative Liberty Union Primary Caledonia 1 District,2014,Primary,Caledonia 1,Liberty Union,State Representative
67695,2014 State Representative Liberty Union Primary Washington 3 District,2014,Primary,Washington 3,Liberty Union,State Representative
67696,2014 State Representative Liberty Union Primary Washington 2 District,2014,Primary,Washington 2,Liberty Union,State Representative
67697,2014 State Representative Liberty Union Primary Lamoille 2 District,2014,Primary,Lamoille 2,Liberty Union,State Representative
67698,2014 State Representative Liberty Union Primary Bennington 2-1 District,2014,Primary,Bennington 2-1,Liberty Union,State Representative
67699,2014 State Representative Liberty Union Primary Bennington 2-2 District,2014,Primary,Bennington 2-2,Liberty Union,State Representative
67700,2014 State Representative Liberty Union Primary Addison-Rutland District,2014,Primary,Addison-Rutland,Liberty Union,State Representative
67701,2014 State Representative Liberty Union Primary Franklin 5 District,2014,Primary,Franklin 5,Liberty Union,State Representative
67702,2014 State Representative Liberty Union Primary Washington 1 District,2014,Primary,Washington 1,Liberty Union,State Representative
67703,2014 State Representative Liberty Union Primary Windsor-Rutland District,2014,Primary,Windsor-Rutland,Liberty Union,State Representative
67704,2014 State Representative Liberty Union Primary Essex-Caledonia-Orleans District,2014,Primary,Essex-Caledonia-Orleans,Liberty Union,State Representative
67705,2014 State Representative Liberty Union Primary Washington-Chittenden District,2014,Primary,Washington-Chittenden,Liberty Union,State Representative
67706,2014 State Representative Liberty Union Primary Orange 2 District,2014,Primary,Orange 2,Liberty Union,State Representative
67707,2014 State Representative Liberty Union Primary Orange-Washington-Addison District,2014,Primary,Orange-Washington-Addison,Liberty Union,State Representative
